timestamp,session_id,last_lap,current_lap,sector1_time,sector2_time,sector3_time,delta_front,lap_distance,car_pos,current_sector
229.925,13859826608897719907,0,0,0,0,0,0,0.000,0,0
229.956,13859826608897719907,0,0,0,0,0,0,0.000,0,0
229.971,13859826608897719907,0,0,0,0,0,0,0.000,0,0
229.986,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.000,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.016,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.031,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.047,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.062,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.078,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.094,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.109,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.125,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.141,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.157,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.173,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.189,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.205,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.221,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.253,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.269,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.284,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.300,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.315,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.331,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.346,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.362,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.378,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.393,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.408,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.423,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.454,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.469,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.484,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.500,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.515,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.531,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.546,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.562,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.578,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.594,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.609,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.641,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.656,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.687,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.703,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.718,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.734,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.749,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.765,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.796,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.811,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.827,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.843,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.858,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.890,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.921,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.936,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.951,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.967,13859826608897719907,0,0,0,0,0,0,0.000,0,0
230.982,13859826608897719907,0,0,0,0,0,0,0.000,0,0
