session_id,track_id,session_type,time,weather,track_temp,track_length,total_laps
13859826608897719907,11,4,1570,2,40,5798,2
13859826608897719907,11,4,1569,2,40,5798,2
13859826608897719907,11,4,1569,2,40,5798,2
13859826608897719907,11,4,1568,2,40,5798,2
13859826608897719907,11,4,1567,2,40,5798,2
13859826608897719907,11,4,1567,2,40,5798,2
13859826608897719907,11,4,1566,2,40,5798,2
13859826608897719907,11,4,1566,2,40,5798,2
13859826608897719907,11,4,1565,2,40,5798,2
13859826608897719907,11,4,1565,2,40,5798,2
13859826608897719907,11,4,1564,2,40,5798,2
13859826608897719907,11,4,1564,2,40,5798,2
13859826608897719907,11,4,1563,2,40,5798,2
13859826608897719907,11,4,1563,2,40,5798,2
13859826608897719907,11,4,1562,2,40,5798,2
13859826608897719907,11,4,1562,2,40,5798,2
13859826608897719907,11,4,1561,2,40,5798,2
13859826608897719907,11,4,1561,2,40,5798,2
13859826608897719907,11,4,1560,2,40,5798,2
13859826608897719907,11,4,1560,2,40,5798,2
13859826608897719907,11,4,1559,2,40,5798,2
13859826608897719907,11,4,1559,2,40,5798,2
13859826608897719907,11,4,1558,2,40,5798,2
13859826608897719907,11,4,1558,2,40,5798,2
13859826608897719907,11,4,1557,2,40,5798,2
13859826608897719907,11,4,1557,2,40,5798,2
13859826608897719907,11,4,1556,2,40,5798,2
13859826608897719907,11,4,1556,2,40,5798,2
13859826608897719907,11,4,1555,2,40,5798,2
13859826608897719907,11,4,1555,2,40,5798,2
13859826608897719907,11,4,1554,2,40,5798,2
13859826608897719907,11,4,1554,2,40,5798,2
13859826608897719907,11,4,1553,2,40,5798,2
13859826608897719907,11,4,1553,2,40,5798,2
13859826608897719907,11,4,1552,2,40,5798,2
13859826608897719907,11,4,1552,2,40,5798,2
13859826608897719907,11,4,1551,2,40,5798,2
13859826608897719907,11,4,1551,2,40,5798,2
13859826608897719907,11,4,1550,2,40,5798,2
13859826608897719907,11,4,1550,2,40,5798,2
13859826608897719907,11,4,1549,2,40,5798,2
13859826608897719907,11,4,1549,2,40,5798,2
13859826608897719907,11,4,1548,2,40,5798,2
13859826608897719907,11,4,1548,2,40,5798,2
13859826608897719907,11,4,1547,2,40,5798,2
13859826608897719907,11,4,1547,2,40,5798,2
13859826608897719907,11,4,1546,2,40,5798,2
13859826608897719907,11,4,1546,2,40,5798,2
13859826608897719907,11,4,1545,2,40,5798,2
13859826608897719907,11,4,1545,2,40,5798,2
13859826608897719907,11,4,1544,2,40,5798,2
13859826608897719907,11,4,1544,2,40,5798,2
13859826608897719907,11,4,1543,2,40,5798,2
13859826608897719907,11,4,1543,2,40,5798,2
13859826608897719907,11,4,1542,2,40,5798,2
13859826608897719907,11,4,1542,2,40,5798,2
13859826608897719907,11,4,1541,2,40,5798,2
13859826608897719907,11,4,1541,2,40,5798,2
13859826608897719907,11,4,1540,2,40,5798,2
13859826608897719907,11,4,1540,2,40,5798,2
